field_name,class,window_days,n_gaps,gap_min_s,gap_p10_s,gap_med_s,gap_mean_s,gap_p90_s,gap_max_s,burstiness,notes
Zynq_vcc_ps_lpd2,ANALOG,1,17147,5.0,5.0,5.0,5.038,5.0,15.0,1.0,
Zynq_vcc_psddrpll,ANALOG,1,17098,5.0,5.0,5.0,5.053,5.0,15.0,1.0,
Zynq_vcc_psintfp_ddr,ANALOG,1,17106,5.0,5.0,5.0,5.05,5.0,15.0,1.0,
Zynq_vcc_pspll0,ANALOG,1,17054,5.0,5.0,5.0,5.066,5.0,15.0,1.0,
Zynq_vccaux,ANALOG,1,17119,5.0,5.0,5.0,5.046,5.0,15.0,1.0,
Zynq_vccbram,ANALOG,1,17105,5.0,5.0,5.0,5.051,5.0,15.0,1.0,
Zynq_vccint,ANALOG,1,17106,5.0,5.0,5.0,5.05,5.0,15.0,1.0,
Zynq_vref_n,ANALOG,1,12282,5.0,5.0,5.0,7.034,10.0,75.0,2.0,
Zynq_vref_p,ANALOG,1,17038,5.0,5.0,5.0,5.07,5.0,15.0,1.0,
Zynq_vtt_ps_gtr,ANALOG,1,17101,5.0,5.0,5.0,5.052,5.0,15.0,1.0,
